"赛事名称","时间","主队","客队","半场主队分数","半场客队分数","完场主队分数","完场客队分数","初盘让球分数","初盘让球主胜","初盘让球客胜","半场让球","半场让球主胜","半场让球客胜","初盘大小球","初盘大球","初盘小球","半场大小球","半场大球","半场小球"
"波兰乙","19/11/17 00:00","莱茨纳","加巴尼亚Krakow","1","0","1","0",-1,1.8,2,-0.5,1.975,1.825,2.5,2,1.8,2.25,2,1.8
"西丙4","19/11/17 00:01","比亚沙圣","托莱萨","0","0","0","0",-0.5,1.8,2,-0.5,2.1,1.7,2,1.9,1.9,0.75,1.95,1.85
"瑞士1LP","19/11/17 00:01","艾托雷","锡永II","2","0","2","1",-1,1.95,1.85,-0.5,1.975,1.825,3.25,2.375,1.55,3.5,1.9,1.9
"西丙6","19/11/17 00:01","CD罗达","海格力斯II","0","0","1","0",-0.5,1.8,2,-0.5,2,1.8,2.25,1.925,1.875,1.25,2,1.8
"西乙二2","19/11/17 00:01","毕尔巴鄂竞技 B","Unionistas de Salamanca CF","1","0","4","1",-1.25,1.92,1.89,-0.75,2.025,1.775,2.5,1.93,1.88,2.25,1.85,1.95
"尼加拉瓜青","19/11/17 00:01","Walter Ferretti 20岁以下","Diriangen U20","2","1","2","2",1,1.8,2,0.75,1.975,1.825,3,1.8,2,4.75,1.8,2
"法国杯","19/11/17 00:02","弗雷瑞斯","格勒诺布尔","1","0","2","1",0.25,2,1.85,0.5,1.825,2.025,2,2,1.85,2.25,2.2,1.7
"法女甲","19/11/17 00:30","里昂 女子","巴黎圣日尔曼 女子","0","0","1","0",-1,1.99,1.83,-0.75,1.925,1.875,2.25,1.93,1.85,1.25,1.9,1.9
"阿尔甲","19/11/17 00:57","圣罗拉","MC奥兰","1","1","1","1",-0.75,1.625,2.25,-0.5,2.05,1.75,2,1.85,1.95,3.25,2.05,1.75
"西丙3","19/11/17 00:59","拉里多","Selaya","1","1","5","1",-1.5,1.95,1.85,-0.75,1.925,1.875,2.5,1.9,1.9,3.25,1.875,1.925
"西班牙青联","19/11/17 00:59","Huesca 19岁以下","爱斯宾奴 19岁以下","0","1","1","4",1.25,1.8,2,0.5,1.95,1.85,3,1.8,2,2.5,1.825,1.975
"法国杯","19/11/17 00:59","Cambrai","US圭维利","0","0","0","1",3.5,1.9,1.95,1.75,2,1.85,4,1.9,1.95,2.25,2,1.85
"欧锦U19","19/11/17 01:00","丹麦 19岁以下","法罗群岛 19岁以下","0","0","2","0",-2.75,1.55,2.375,-2.25,2.025,1.775,3.5,1.75,2.05,2.5,2.025,1.775
"德北莱茵","19/11/17 01:00","SpVg Schonnebeck","SV Straelen","0","0","0","1",1,2.025,1.775,0.75,1.95,1.85,3.25,1.9,1.9,1.75,1.85,1.95
"欧锦预2020","19/11/17 01:00","圣马力诺","哈萨克斯坦","0","3","1","3",2.75,1.925,1.925,1.5,1.85,2,3.25,1.875,1.975,5,2,1.85
"欧锦预2020","19/11/17 01:00","阿塞拜疆","威尔士","0","2","0","2",1,1.875,1.975,0.5,1.775,2.1,2.25,1.975,1.875,3.25,2.05,1.8
"西丙5","19/11/17 01:01","伊瓜拉达足球俱乐部","欧罗巴","0","1","1","1",1,1.725,2.075,0.5,1.75,2.05,2.75,1.825,1.975,2.75,1.95,1.85
"西丙2","19/11/17 01:01","印达斯特利亚","莱尔塔德","0","0","0","0",1,1.925,1.875,0.5,1.95,1.85,2.75,1.95,1.85,1.25,1.9,1.9
"欧锦预2020","19/11/17 01:01","斯洛文尼亚","拉脱维亚","0","0","1","0",-2.25,1.9,1.95,-1.25,1.925,1.925,3,2.1,1.775,1.75,1.95,1.9
"卢荣誉赛","19/11/17 01:01","US埃施","维莱尔拉图尔阳光男孩","1","1","3","1",-0.5,1.875,1.925,-0.5,1.925,1.875,3.5,1.85,1.95,4,1.925,1.875
"西PNW","19/11/17 01:02","皇家贝蒂斯B 女子","加的斯 女子","2","1","3","1",-0.5,1.9,1.9,-0.75,1.85,1.95,3.5,1.925,1.875,5,1.85,1.95
"法国杯","19/11/17 01:04","FC里昂足球","马赛Athletico","0","1","0","1",1.75,2.025,1.825,0.75,1.9,1.95,3.25,1.95,1.9,2.75,1.975,1.875
"英全联","19/11/17 01:20","耶奥维尔","多佛尔","0","0","0","1",-0.5,2.025,1.775,-0.5,2,1.8,2.5,1.9,1.9,1.5,2,1.8
"西丙16","19/11/17 01:30","Yagüe","Arnedo","1","1","1","2",1,2.05,1.75,1,1.825,1.975,2.75,1.825,1.975,3.75,1.925,1.875
"西丙2","19/11/17 01:30","考达尔","UC Ceares","0","1","1","3",-1.75,2,1.8,-1.25,1.925,1.875,3,1.975,1.825,2.75,1.8,2
"欧锦预U21","19/11/17 01:31","意大利 21岁以下","冰岛 21岁以下","1","0","3","0",-1.75,1.975,1.875,-0.5,1.925,1.875,2.75,1.85,2,2.5,2.025,1.775
"西丙16","19/11/17 01:31","UD Logrones B","奥恩沙","2","0","3","0",-0.75,2.075,1.725,-0.5,1.8,2,2.75,1.9,1.9,3.5,1.925,1.875
"巴西赛事","19/11/17 01:58","艾华尔 19岁以下","尤文图德 19岁以下","0","1","1","1",-0.75,2.025,1.775,-0.75,1.75,2.05,3,2,1.8,2.5,1.85,1.95
"西丙13","19/11/17 01:59","阿吉拉斯(Aguilas)","Huercal Overa CF","0","0","0","0",-1,2,1.8,-0.75,2,1.8,2.5,1.975,1.825,1.25,1.9,1.9
"法国杯","19/11/17 01:59","保格-柏隆拿斯","萨尔特河畔FC","1","1","1","1",-0.75,1.89,2,-0.5,2.125,1.75,2.5,2.03,1.82,3.25,1.825,2.025
"欧锦U19","19/11/17 02:28","比利时 19岁以下","阿尔巴尼亚 19岁以下","2","0","2","1",-2.75,2.075,1.725,-1,2.025,1.775,3.75,1.95,1.85,3.5,1.825,1.975
"巴西赛事","19/11/17 02:29","FC Atlético Cearense U19","古亚尔尼 19岁以下","1","0","1","0",-2,1.8,2,-1.25,2,1.8,3.25,2,1.8,2.75,1.9,1.9
"欧锦U19","19/11/17 02:30","希腊 19岁以下","冰岛 19岁以下","0","1","2","5",-0.25,1.725,2.075,-0.5,1.875,1.925,2.75,2.025,1.775,2.5,2.05,1.75
"西丙12","19/11/17 02:31","德特內里費","Atletico Union吉马尔","0","0","1","0",-1.25,1.9,1.9,-0.5,2.075,1.725,2.5,1.875,1.925,1.25,2.05,1.75
"比甲业余","19/11/17 02:32","特斯体育","突比斯","1","0","2","0",-0.75,1.825,1.975,-0.75,1.975,1.825,2.75,1.95,1.85,2.5,1.975,1.825
"巴西杯U20","19/11/17 02:33","戈亚斯 20岁以下","Anapolina 20岁以下","2","0","4","0",-1.5,1.85,1.95,-1,1.95,1.85,3,1.95,1.85,3.75,1.975,1.825
"厄瓜乙","19/11/17 03:00","CD Otavalo","CD Vargas Torres","1","0","4","0",-1,1.85,1.95,-0.5,1.85,1.95,2.5,2.1,1.7,3.25,1.9,1.9
"巴西赛事","19/11/17 03:00","CA伊塔雅伊","Cacadorense","1","0","1","2",-0.75,2.05,1.75,-0.5,2.075,1.725,2.5,1.875,1.925,2.25,1.775,2.025
"非资格赛","19/11/17 03:01","科特迪瓦","尼日尔","0","0","1","0",-1.75,1.9,1.9,-1,1.975,1.825,2.5,1.85,1.95,1.25,1.85,1.95
